ID,CODIGO,STATUS,ID_CLIENTE
1,1038763517,CANCELADO,476
2,7781053907,PROCESANDO,199
3,7400910841,PROCESANDO,30
4,4287367855,PROCESANDO,169
5,9426768114,PROCESANDO,95
6,4163607102,ENVIADO,362
7,9909133113,PROCESANDO,382
8,0195700546,PENDIENTE,273
9,3167897325,PROCESANDO,96
10,6165843697,PENDIENTE,388
11,0417546890,CANCELADO,93
12,6417553329,CANCELADO,239
13,2610906714,PROCESANDO,253
14,8975779858,PENDIENTE,485
15,4646714728,ENVIADO,159
16,4556810124,CANCELADO,195
17,7591468073,PENDIENTE,61
18,2873212128,PENDIENTE,115
19,2291465848,ENVIADO,96
20,2069680711,PENDIENTE,488
21,1817148974,PROCESANDO,231
22,1977141897,CANCELADO,419
23,7238900408,CANCELADO,458
24,6176805228,CANCELADO,250
25,0681065362,CANCELADO,339
26,5755549486,PENDIENTE,357
27,9647131003,ENVIADO,81
28,3611855804,CANCELADO,126
29,5559210161,PENDIENTE,338
30,2281173577,PENDIENTE,394
31,9224543162,PENDIENTE,12
32,7841940637,CANCELADO,271
33,4612570057,PENDIENTE,169
34,4485055876,ENVIADO,411
35,2852792842,CANCELADO,61
36,7626146743,PENDIENTE,177
37,7361123473,CANCELADO,331
38,4453302843,PROCESANDO,419
39,4328973282,ENVIADO,407
40,5927323502,PENDIENTE,476
41,6633265190,PENDIENTE,176
42,8350924020,PROCESANDO,310
43,6089248215,CANCELADO,420
44,4827266344,CANCELADO,125
45,1147044708,PENDIENTE,282
46,6877004957,PROCESANDO,319
47,5685658346,PENDIENTE,460
48,2757454048,CANCELADO,95
49,8325018704,CANCELADO,491
50,0440669685,PROCESANDO,248
51,2537259696,PENDIENTE,435
52,0651930898,CANCELADO,234
53,7240197840,CANCELADO,247
54,0714076945,PROCESANDO,426
55,3964413135,PROCESANDO,437
56,9545813520,CANCELADO,35
57,6330865132,PROCESANDO,53
58,2354771983,PENDIENTE,248
59,2486890157,ENVIADO,217
60,5937802748,ENVIADO,134
61,2203911905,CANCELADO,375
62,7110855112,ENVIADO,46
63,6775115962,PENDIENTE,256
64,8980011717,PROCESANDO,99
65,4707367658,ENVIADO,225
66,4663316921,ENVIADO,405
67,4597008098,ENVIADO,92
68,9682558948,CANCELADO,495
69,1087920728,PROCESANDO,441
70,0858127288,CANCELADO,235
71,6350381343,PROCESANDO,96
72,0938123556,ENVIADO,465
73,2434299121,CANCELADO,126
74,0272810169,CANCELADO,374
75,5577994896,CANCELADO,428
76,2004120320,ENVIADO,352
77,7336415881,ENVIADO,305
78,1733224106,PENDIENTE,312
79,4528068664,ENVIADO,4
80,7147959019,ENVIADO,370
81,3194244515,CANCELADO,106
82,7354640425,CANCELADO,496
83,5230138149,ENVIADO,250
84,8065827772,ENVIADO,187
85,2304318754,ENVIADO,176
86,1531965172,PENDIENTE,138
87,3019744555,PENDIENTE,339
88,4686094887,PROCESANDO,126
89,8156812824,PROCESANDO,421
90,1210044587,CANCELADO,232
91,9766164231,CANCELADO,45
92,6613091413,CANCELADO,33
93,5726562755,ENVIADO,141
94,7118921041,CANCELADO,373
95,9153819365,PROCESANDO,451
96,7265824555,PROCESANDO,51
97,3596022495,PENDIENTE,86
98,7110576914,ENVIADO,137
99,6073382162,PROCESANDO,272
100,8572011102,ENVIADO,185

